       regionGas1_s6  |          region1_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s1  |          region2_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s2  |          region2_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s3  |          region2_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s4  |          region2_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s5  |          region2_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s6  |          region2_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 2  |                           0*cm 0.5447266*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 131.4761774*cm 5.0131796*cm 142.6048516*cm 0*rad 144.2916867*cm 5.0131796*cm 156.0164627*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s1  |          region3_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s2  |          region3_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s3  |          region3_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
